Exit,Exit the game
Text Naughty Baby,"Enters: Steal 4 Money if there's no Police ally, then steal 4 Fame if there's no Police rivals."
Title Consigliere,Consigliere
Text Consigliere,"Turn End: Spend 8 Money to draw a card and get +3 Fame."
Title Con Artist,Con Artist
Text Con Artist,"Draw Action: Steal 1 Fame if there's no Police rivals."
Title Inspector,Inspector 
Text Inspector,"Raise both club upgrade costs by 10 unless your club tier is higher." 
Title Troublemaker,Troublemaker
Text Troublemaker,Opponent Upgrade: Opponent loses 3 Fame unless they have Bouncer.
Title Housekeeper,Housekeeper
Text Housekeeper,"Non-Maid Ally Enters: +1 Fame per ally sharing a type with them (max +3)."
Effect Housekeeper,SOURCEPLAYER gained FAMELABEL from CARDNAME.
Title Maid Manager,Maid Manager
Text Maid Manager,"+1 Money/turn per 2 Maid allies. At tier 4+, +1 Fame/turn instead (max +4)."
Title Throne Room Servant,Throne Room Servant
Text Throne Room Servant,"+2 Fame/turn per tier 5 ally (max +7)."
Title Feather Duster,Feather Duster
Text Feather Duster,"Played: Select an active Event to end, then +Money equal to its tier and draw a card if there's a Maid ally."
Prerequisite Feather Duster,Select an ongoing event to end.
Title Afterhours Service,Afterhours Service
Text Afterhours Service,"Lasts 3 turns. +2 Fame/turn and -2 Money/turn per Maid or Staff ally (max +/- 18)."
Title Night Maid,Night Maid
Text Night Maid,+4 Fame/turn and +2 Money/turn if you have an active Event.
Title Tax Auditor,Tax Auditor
Text Tax Auditor,"Enters: Select a tier 3 or lower rival's and set its Money to 1."
Prerequisite Tax Auditor,Select a member from your opponent club to set its money to 1
GroupKemonomimi,Kemonomimi
Title Beat Cop,Beat Cop
Text Beat Cop,"Can't be targeted. Enters: Return up to 3 random cards from players' streets to their deck."
Title Knot Tester,Knot Tester
Text Knot Tester,"Enters: Play a random Knot event from your deck."
Title Insurance Agent,Insurance Agent
Text Insurance Agent,"You Draw: +1 Money. Turn Start: Leaves if your hand is empty, then draw 3 cards."
GroupPorn,Porn
GroupVideo,Video
Title Talent Agent,Talent Agent
Text Talent Agent,"+1 Fame/turn if your streets have 3+ Videos. Enters: Add 2 Porn Amateurs to your hand."
Title Eden,Eden
Text Eden,"Enters: +1 action, Select a tier, opponent can't play cards of the selected tier next turn. After 3 turns returns to hand."
Effect Eden,Eden prevents the opponent from playing tier AMOUNT.
Title Adoption,Adoption
Text Adoption,"Played: Put a random Pet from your deck or streets into your hand, then +1 action unless its tier is higher than your club tier."
Title Loving Owner,Loving Owner
Text Loving Owner,"Pets treat your club tier as 1 higher. +1 Money/turn if there's a Maid ally. +2 Fame/turn if there's 6+ Pet allies."
Title Cheeky Hamster,Cheeky Hamster
Text Cheeky Hamster,"+Fame/turn equal to club tier. Enters: -10 Money."
Title Vanilla Classic,Vanilla Classic
Text Vanilla Classic,"Played: Select a Porn Actress ally to return to hand, then +1 action and draw a card."
Prerequisite Vanilla Classic,"Select a Porn Actress from your club."
Title Guest Star,Guest Star
Text Guest Star,"Video Played: +Fame and +Money equal to its tier + the number of Porn Actress allies (max +6 each)."
Title Skye,Skye
Text Skye,"Another Ally Enters (once/turn): If it has a new type, -2 Money and draw a card."
Title Vintage Maid,Vintage Maid
Text Vintage Maid,"Can't be targeted. Enters: You may select an ally from the streets to return to your hand."
Title Fetish Flick,Fetish Flick
Text Fetish Flick,"Played: Return 2 random Porn Actress allies to hand, then +3 actions."
Title Ball Buster,Ball Buster
Text Ball Buster,"Lasts 2 turns. Opponent can't play Events or Liabilities. Played: Return 2 random Porn Actress allies to hand."
GroupTimedEvent,Timed Event
GroupContinuousEvent,Continuous Event
GroupAuction,Auction
Title Kira,Kira
Text Kira,"Can't leave. +1 Fame/turn per 2 allies (max +8). Enters: Select an ally, sets it and those adjacent to 0/-2"
Prerequisite Kira,"Select a member from your club."
InfoPopupTitle, Info
InfoFameTitle,"Fame"
InfoFameDescription1,"Be the first to reach 100 Fame to win!"
InfoFameDescription2,"Some cards generate Fame each turn (shown in square icon)."
InfoFameDescription3,"Fame generation stops if your Money falls below 0."
InfoMoneyTitle,"Money"
InfoMoneyDescription1,"Some cards generate Money each turn (shown in circle icon)."
InfoMoneyDescription2,"Can spend money to upgrade your club tier."
InfoBuildingTiersTitle,"Club"
InfoBuildingTiersDescription1,"Higher club tier unlock more space and lets you play better cards: ⤵️"
InfoBuildingTiersDescription2,"T1: Apartment (free, 5🀆) → T2: Cottage (10💲, 7🀆) → "
InfoBuildingTiersDescription3,"T3: House (20💲, 13🀆) → T4: Mansion (30💲, 20🀆) → T5: Manor (40💲, 40🀆)"
InfoLiabilitiesTitle,"Liabilities"
InfoLiabilitiesDescription1,"Played into opponent's club, take up space and cause negative effects."
InfoStreetsTitle,"Streets"
InfoStreetsDescription1,"Used cards that are no longer in play will go to the streets."
Title Drunkard,Drunkard
Text Drunkard,"You Draw: -1 Fame unless there's a Bouncer ally and -1 Fame unless there's a Waitress ally."
GroupSlave,Slave
GroupSubmissive,Submissive
Title Country Gal,Country Gal
Text Country Gal,"<F>Every bounce it gets tighter… my grip on bull, duh!"
Title Kneeling Sub,Kneeling Sub
Text Kneeling Sub,"<F>I'm on my knees so much, that I needed kneepads"
Title Humbled Harper,Humbled Harper
Text Humbled Harper,"Opponent Draws: +1 Money, and if there's 6+ allies, +1 Fame."
Title Miss N Spection,Miss N Spection
Text Miss N Spection,"Draw Action: Draw 2 extra cards if your hand is empty. Enters: Select a card in hand to discard, then draw a card."
Prerequisite Miss N Spection,Select a card in your hand to discard.
Title Bottom Bitch,Bottom Bitch
Text Bottom Bitch,"+2 Fame/turn per other Submissive ally (max +10). Turn End: Leaves if there's no Mistress allies."
Title Nadu Nyla,Nadu Nyla
Text Nadu Nyla,+2 Fame/turn and +1 Money/turn if you have an active Event.
Title Surrender,Surrender
Text Surrender,Played: All Slave allies get +1/+0.
Title Hands Out,Hands Out
Text Hands Out,"Played: Select a card in hand, then discard your hand, keep the selected card if there's a Slave ally, then Draw a card per card discarded + 1."
Prerequisite Hands Out,Select a card in your hand.
Title Carol,Carol
Text Carol,"Enters: Play a random Asylum Patient from your streets if there's another Asylum Nurse ally, if you can't, play one from your deck instead."
Title Rizom,Rizom
Text Rizom,"Enters: Select an ally to get +1/+1, then +1/+0 if there's a Mommy ally, then +0/+1 if there's an Owner ally."
Prerequisite Rizom,'Select a member from your club to enhance.'
Effect Rizom,"CARDNAME got a massage from Rizom, their fame and money got boosted."
Title Chirumi,Chirumi
Text Chirumi,"+Fame/turn equal to club tier. Turn End: Leaves if your streets have 3+ cards."
Title Pack Member,Pack Member
Text Pack Member,"Enters: Add a Pack Member to your hand if you have fewer members."
Title Brutus,Brutus
Text Brutus,"<F>I usually use these cuffs outside of work."
Title Yunari,Yunari
Text Yunari,"Turn End: Leaves if your streets have less than 4 cards."
Title Pack Leader,Pack Leader
Text Pack Leader,"+1 Fame/turn per Pack Member ally (max +5). +2 Fame/turn if your streets have a Pack Member."
Title Mama Bear,Mama Bear
Text Mama Bear,"Enters: +1 Fame per unique allied type and +1 Money per Baby ally."
Title Instincts,Instincts
Text Instincts,"You can't gain Fame/turn. Ends if there's a Kemonomimi ally. Played: -12 Fame and draw 3 cards."
Title Pack Tactics,Pack Tactics
Text Pack Tactics,"Lasts 2 turns. Turn End: Opponent loses 1 Fame per Pack Member ally. Played: Summon a Pack Member."
Title Conservation Efforts,Conservation Efforts
Text Conservation Efforts,"Lasts 4 turns. You Draw: +2 Fame and +2 Money if there's a Kemonomimi ally."
Title Artie, Artie
Text Artie,"+1 Fame/turn per 2 of your club tiers. Enters: -6 Money and draw a random Owner."
Title Cute Bunny,Cute Bunny
Text Cute Bunny,"Leaves if there's more Cute Bunny allies than your club tier. Enters: Add a Cute Bunny to your hand and opponent gets +2 Fame."
Title Ganguro Girl,Ganguro Girl
Text Ganguro Girl,"Turn End: The player with more non-Liability members loses 1 Fame."
Title Collector,Collector
Text Collector,"+1 Fame/turn if there's a Slave ally. +1 Money/turn per Kemonomimi ally (max 2)."
Title Sewer Rat,Sewer Rat
Text Sewer Rat,"Turn End: Leaves if your streets have 7+ members, then opponent loses 25 Fame."
Title Hustler,Hustler
Text Hustler,"You Steal: +1 Fame or +1 Money at random per Criminal in your streets (max +2 each)."
Title Enforcer,Enforcer
Text Enforcer,"+1 Fame/turn per member in your streets (max +7). Enters: Discard 3 random members from your deck, then get +Money equal to their tiers."
Title Ball Gag,Ball Gag
Text Ball Gag,"Needs a Mistress to play. Played: Select a member to negate, then -Money equal to their tier ^ 2."
Prerequisite Ball Gag,Select a member to gag.
Effect Ball Gag,CARDNAME got their effect negated.
Title Akira,Akira
Text Akira,Enters: Select a member to Ball Gag.
Prerequisite Akira,Select a member to negate their effect.
Title Ari,Ari
Text Ari,"+1 Fame/turn per 2 Student allies (max = club tier)."
Title Mei,Mei
Text Mei,"Enters: You may select a card from your deck, then reveal it and put it in your hand. +3 Money if it's tier 5, otherwise Mei gets the Submissive type."
Prerequisite Mei,"Select a card to add to your hand"
Title Cafe Maid,Cafe Maid
Text Cafe Maid,"You Draw: +1 Money, and at tier 4+, +1 Fame too."
Title Jailbird,Jailbird
Text Jailbird,"You can steal even if the opponent has no Fame."
Title Riot,Riot
Text Riot,"Lasts 3 turns. +3 Money/turn per Criminal ally. Turn End: Steal 2 Fame per Criminal in your streets."
Title Tabled Tessa,Tabled Tessa
Text Tabled Tessa,"+1 Fame/turn and +1 Money/turn if your club tier is lower."
Title Stalker,Stalker
Text Stalker,"Revealed Member Enters (while in hand): Enters."
Title Lewd Photographer,Lewd Photographer
Text Lewd Photographer,"Exhibitionist Ally Enters: -1 Money and add a Nude Photos to the opponent's deck."
Title Streaker,Streaker
Text Streaker,"Enters: Add a New Clothes to the opponent's deck. after 4 turns, returns to hand and players draw a card."
Title Exotic Dancer,Exotic Dancer
Text Exotic Dancer,"+1 Fame/turn if there's 16+ allies. +1 Money/turn if there's a Procuress ally."
Title Flasher,Flasher
Text Flasher,"Ally Enters: +1 Fame. Enters: Add 2 Nude Photos to the opponent's deck."
Title Window Shopper,Window Shopper
Text Window Shopper,"+4 Fame/turn if there's 12+ Exhibitionists visible. Streaker, Exotic Dancer, or Nudist Ally Enters (once/turn): +1 action."
Title Lingerie Model,Lingerie Model
Text Lingerie Model,"Enters: Add 3 New Clothes to the opponent's deck."
Title Procuress,Procuress
Text Procuress,"Every 6th Ally: -2 Money and add an Exotic Dancer to your hand."
Title Covert Canvas,Covert Canvas
Text Covert Canvas,"Card Drawn: +1 Fame. Enters: Players draw 3 cards."
Title Temptress,Temptress
Text Temptress,"Opponent loses 7 Fame/turn if their deck is empty. Opponent Draws: Steal 1 Fame."
Title Sexhibitionist,Sexhibitionist 
Text Sexhibitionist,"Enters: Add 3 Nude Photos to the opponent's deck, then players draw 3 cards."
Title New Clothes,New Clothes
Text New Clothes,"Drawn: -3 Money, draw a card, and opponent gets +3 Fame, then remove this card from play."
Title Nude Photos,Nude Photos
Text Nude Photos,"Drawn: -4 Fame, draw a card, and oponent gets +2 Money, then remove this card from play."
Title Walkies,Walkies
Text Walkies,"Played: Select a Pet or Exhibitionist from your hand to send to your streets. +4 actions. You can only play Pets or Exhibitionists this turn."
Prerequisite Walkies,Select a pet or an exhibitionist in your hand.
Title Peek Performance,Peek Performance
Text Peek Performance,"Played: Players draw a card. Repeat per 3 Exhibitionists visible."
Title Unlucky Undresser,Unlucky Undresser
Text Unlucky Undresser,"Enters: Add a New Clothes and 2 Nude Photos to the opponent's deck."
Title Lumi,Lumi
Text Lumi,"Active (once/tier): +1 action, players reveal their hands, then the player with higher sum of tiers gets +Fame equal to their club tier."
Title Public Advertisement,Public Advertisement
Text Public Advertisement,"Ally Enters: +1 Money and opponent gets +2 Fame."
Title Tifa,Tifa
Text Tifa,"Active (once/turn): -3 Money, look at the top card of your deck, then you may send it to your streets, then draw a card."
Effect Tifa Discard,"SOURCEPLAYER send a card to streets and draw from Tifa"
Effect Tifa Draw,"SOURCEPLAYER draw a card from Tifa"
ActiveEffect,Activate Effect.
DrawThisCard,Draw This Card.
SendToStreets,Send To Streets.
GroupLatex,Latex
Title Latex Amateur,Latex Amateur
Text Latex Amateur,"Draw Action: +1/+0 (max 3 Fame). You Play A Card: Set this card's Fame to 0."
Title Suit Polisher,Suit Polisher
Text Suit Polisher,"+1 Fame/turn if there's an Exquisite Suit ally. Draw Action: +0/+1 (max 3 Money). You Play A Card: Set this card's Money to 0."
Title Latex Lover,Latex Lover
Text Latex Lover,"Draw Action: +1 Money per Latex ally (max = club tier)."
Title Color Mixer,Color Mixer
Text Color Mixer,"Enters: Select a non-Liability ally, then gain their types."
Prerequisite Color Mixer,Select a member from your club.
Title Vac-bed Patient,Vac-bed Patient
Text Vac-bed Patient,"Draw Action: +1 Fame and Money."
Title Shine Simp,Shine Simp
Text Shine Simp,"Draw Action: Players lose 1 Fame per Latex ally (max -4)."
Title Latex Drone,Latex Drone
Text Latex Drone,"<F>1684 :: Code 050 :: Statement :: This drone is ready to obey"
Title Encased,Encased
Text Encased,"You Play A Non-Latex Non-Dominant Member: Leaves."
Title Condom Suit,Condom Suit
Text Exquisite Suit,"Draw Action: +1/-1 (max 6/-4). You Play A Non-Latex Member: Negate this card."
Title Latex Nurse,Latex Nurse
Text Latex Nurse,"Enters: Select a member in hand to discard to summon a Vac-Bed Patient."
Prerequisite Latex Nurse,Select a member from your hand.
Title Exquisite Suit,Exquisite Suit
Text Condom Suit,"Other Latex members can't leave."
Title Full Catsuit,Full Catsuit
Text Full Catsuit,"Draw Action: +2/+2 (max 13/13), and opponent loses 1 Fame and Money."
Title Goddess Gleam,Goddess Gleam
Text Goddess Gleam,"Draw Action: +3/-2 (max 18/-10), and opponent loses 2 Fame."
Title Polish and Shine,Polish and Shine
Text Polish and Shine,"Played: Play 2 random tier 3 or lower allies, then +3 Money and Fame per Fetishist or Latex played."
Title Shiny Parade,Shiny Parade
Text Shiny Parade,"Played: Draw a card per 2 Latex allies (max 2), then take the Draw Action."
Title Intense Training,Intense Training
Text Intense Training,"Played: +1 action, Select a Shibari card from your streets to return to your hand."
Prerequisite Intense Training,Select a Shibari card from your streets.
Title The Butler,The Butler
Text The Butler,"Opponent can steal even if there's a Police. Opponent Plays Criminal: They steal 1 Money."
Title Reverse Prayer,Reverse Prayer
Text Reverse Prayer,"+1 Money/turn if your Fame is 40 or less. Enters: Select a tier. You can't discard cards of target tier."
Effect Reverse Prayer,Tier AMOUNT was selected for Reverse Prayer.
Title Creaking,Creaking
Text Creaking,"Lasts 6 turns. Select a Latex ally to negate. Draw Action: +2 Fame per Latex ally (max = club tier * 3)."
Prerequisite Creaking,Select a latex member from your club.
Your Decks,Your Decks
Default Decks,Preconstructed
Title Plushie,Plushie
Text Plushie,"Enters: +2 Fame and set its Money equal to the number of Plushie allies (max = club tier)."
Title Delta,Delta
Text Delta,"You win once there's 9+ Plushie allies. Game Start: Add 9 Plushies to your deck if it has 40 cards."
Title Felix,Felix
Text Felix,"Enters: Add a random Player Card to the top 6 cards of your deck."
Title Jae,Jae
Text Jae,"Ally Leaves (once/turn): +Fame and +Money equal to Jae's stats."
Title anna,anna
Text anna,You can see the top card of your deck.
Play Precon,Play Precon
Title Clare,Clare the Trickster Auctioneer
Text Clare,"Active (once/tier): +1 action, Select a member from your deck to discard, then steal Money equal to its tier."
Title arella,arella
Text arella,"Enters: All Submissive, Student, and Slave allies get +0/+1."
Title Ramona,Ramona
Text Ramona,<F>I am just a simple girl trying to make my way in the universe.
Title Debt Slave,Debt Slave
Text Debt Slave,"-1 Money/turn at tier 3+. Ally Leaves To Your Streets: Return them to the deck and leave."
